year,occurences,fatalities
1950,6,187
1951,15,252
1952,6,172
1953,8,139
1954,6,140
1955,10,266
1956,6,159
1957,9,151
1958,5,241
1959,10,218
1960,13,412
1961,11,337
1962,18,883
1963,7,78
1964,5,174
1965,10,278
1966,10,459
1967,7,207
1968,5,306
1969,6,134
1970,13,585
1971,10,518
1972,11,725
1973,18,899
1974,11,278
1975,10,214
1976,13,528
1977,11,386
1978,8,403
1979,17,812
1980,3,239
1981,5,202
1982,7,280
1983,8,474
1984,5,322
1985,8,806
1986,8,275
1987,9,320
1988,14,313
1989,6,297
1990,9,231
1991,9,147
1992,7,255
1993,3,75
1994,4,207
1995,4,216
1996,3,131
1997,3,68
1998,2,155
1999,5,236
2000,9,598
2001,6,526
2002,1,14
2004,1,2
2005,2,0
2007,1,114
2008,2,88
2009,3,237
