location,occurrences,fatalities,path
Russia/USSR,229,6575,images/russia.jpg
Alaska,165,1140,images/alaska.png
Brazil,157,2875,images/brazil.png
Colombia,131,2630,images/colombia.jpg
Canada,128,1675,images/canada.png
Other,116,2012,images/other.png
California,104,1346,images/cali.jpg
Indonesia,83,1986,images/indo.jpg
India,81,2345,images/india.png
Mexico,69,1094,images/mexico.jpg
France,67,2175,images/france.jpg
Philippines,63,1193,images/phili.png
Italy,57,1394,images/italy.jpg
England,56,1002,images/england.jpg
Venezuela,55,1160,images/vene.png
New York,51,1488,images/ny.png
Peru,48,1386,images/peru.jpg
Bolivia,44,633,images/bolivia.png
Spain,42,1404,images/spain.png
Angola,42,961,images/angola.png
Texas,36,462,images/texas.png
Japan,36,1588,images/japan.png
Colorado,36,335,images/colorado.jpg
Florida,35,510,images/florida.jpg
Taiwan,35,1115,images/taiwan.png
China,35,1479,images/china.jpg
Australia,35,249,images/australia.png
Iran,35,1739,images/iran.png
Argentina,34,820,images/argentina.png
Hawaii,34,290,images/hawai.png
South Vietnam,33,1159,images/sviet.png
Vietnam,33,900,images/vietnam.png
Arizona,32,347,images/arizona.jpg
Egypt,32,939,images/egypt.png
Nigeria,32,1260,images/nigeria.png
Washington,32,361,images/washignton.png
Turkey,31,929,images/turkey.jpg
Ecuador,31,759,images/ecuador.png
Afghanistan,30,1066,images/afga.png
Pennsylvania,29,390,images/penn.png
Georgia,27,537,images/georgia.jpg
Sudan,27,587,images/sudan.jpg
Illinois,26,639,images/illinois.jpg
Nevada,26,348,images/nevada.gif
Michigan,25,389,images/michigan.png
Nepal,25,581,images/nepal.jpg
Pakistan,25,599,images/pakistan.png
Laos,25,429,images/laos.png
Germany,24,430,images/germany.png
North Carolina,24,341,images/nc.png
Ohio,23,148,images/ohio.png
New Mexico,22,136,images/nm.gif
Thailand,22,845,images/thailand.png
Chile,21,421,images/chile.png
New Jersey,21,302,images/nj.jpg
Missouri,20,174,images/missouri.jpg
