operator,count,deaths,aboard
Aeroflot,179,7156,8870
Air France,70,1734,2874
American Airlines,62,1614,2330
United Air Lines,52,1393,2834
AVIANCA,26,945,1071
Trans World Airlines,18,142,183
Ethiopian Airlines,13,223,407
Qantas,13,89,124
Aerolineas Argentinas,13,341,440
Delta Air Lines,12,299,578
TACA,10,95,161
Air India,10,827,927
Alaska Airlines,9,231,301
EgyptAir,9,406,500
Northwest Airlink,8,407,669
British Airways,8,13,510
Alitalia,8,458,500
Continental Airlines,8,83,666
Thai Airways,7,358,442
Air Canada,6,138,355
All Nippon Airways,6,224,770
Lufthansa,5,146,315
Aeromexico,4,75,199
El Al,4,69,69
Air New Zealand,3,261,266
Aer Lingus,3,87,87
Malaysia Airlines,2,134,153
Korean Air,2,7,7
Finnair,2,47,49
Gulf Air,2,255,255
Kenya Airways,2,283,293
Royal Air Maroc,2,105,126
Vietnam Airlines,2,95,97
Singapore Airlines,2,85,181
Southwest Airlines,2,0,245
Austrian Airlines,1,31,37
Turkish Airlines,1,9,134
US Airways,1,0,155
